"Time","Location","Harvest","Fraction","pH"
0,"Antioquia","H2","testa",4
0,"Antioquia","H2","testa",4.1
24,"Antioquia","H2","testa",4.3
24,"Antioquia","H2","testa",4.4
24,"Antioquia","H2","testa",4.5
48,"Antioquia","H2","testa",4.7
48,"Antioquia","H2","testa",4.8
48,"Antioquia","H2","testa",4.8
72,"Antioquia","H2","testa",4.9
72,"Antioquia","H2","testa",4.9
72,"Antioquia","H2","testa",5
96,"Antioquia","H2","testa",5
96,"Antioquia","H2","testa",4.9
96,"Antioquia","H2","testa",4.9
120,"Antioquia","H2","testa",5.4
120,"Antioquia","H2","testa",5.5
120,"Antioquia","H2","testa",5.4
144,"Antioquia","H2","testa",6.1
144,"Antioquia","H2","testa",6.5
144,"Antioquia","H2","testa",6.8
168,"Antioquia","H2","testa",7.3
168,"Antioquia","H2","testa",7.6
168,"Antioquia","H2","testa",7.5
0,"Antioquia","H2","cotyledon",6.2
0,"Antioquia","H2","cotyledon",6
0,"Antioquia","H2","cotyledon",6.2
24,"Antioquia","H2","cotyledon",5.1
24,"Antioquia","H2","cotyledon",5.7
24,"Antioquia","H2","cotyledon",4.6
48,"Antioquia","H2","cotyledon",4.9
48,"Antioquia","H2","cotyledon",5
48,"Antioquia","H2","cotyledon",5.1
72,"Antioquia","H2","cotyledon",5
72,"Antioquia","H2","cotyledon",5.1
72,"Antioquia","H2","cotyledon",5.2
96,"Antioquia","H2","cotyledon",4.9
96,"Antioquia","H2","cotyledon",4.9
96,"Antioquia","H2","cotyledon",4.9
120,"Antioquia","H2","cotyledon",5.4
120,"Antioquia","H2","cotyledon",5.3
120,"Antioquia","H2","cotyledon",5.4
144,"Antioquia","H2","cotyledon",5.3
144,"Antioquia","H2","cotyledon",5.5
144,"Antioquia","H2","cotyledon",5.5
168,"Antioquia","H2","cotyledon",6.3
168,"Antioquia","H2","cotyledon",6.3
168,"Antioquia","H2","cotyledon",6.6
