"CAP1","CAP2","Location"
-0.115089636346522,0.399602033987604,"Santander"
0.220189278478976,0.793891029084981,"Santander"
-1.00971781142198,0.633116776670146,"Santander"
0.332847817943497,1.01147926936007,"Santander"
-0.57182898130198,-0.0160127992456614,"Santander"
0.276927318335051,0.914521590180279,"Santander"
-0.348837176034181,-1.04864253504365,"Huila"
-0.622546088898943,0.512586480270866,"Huila"
0.19201220660314,-1.0882002793548,"Huila"
-0.741919933804321,0.161053587523272,"Huila"
-0.38705745937218,-0.434988159442269,"Huila"
-0.157830037638168,-0.653056772677476,"Huila"
0.746481073933731,-0.271920254643837,"Antioquia"
0.493869856029693,-0.392111214397326,"Antioquia"
0.846673252614495,0.681020030319054,"Antioquia"
0.253212744533433,-0.841037320697268,"Antioquia"
0.243281424408062,-0.966413260668393,"Antioquia"
0.349332151938192,0.605111798774412,"Antioquia"
-0.545318741842828,0.310166167651077,"Santander"
-0.254926177500078,1.06655861434515,"Santander"
-0.698244745440573,0.448582118162516,"Santander"
-0.333409285045984,0.82580952331888,"Santander"
-0.403362531216681,0.315059915478277,"Santander"
-0.314585369445334,0.137448481003064,"Santander"
-0.264837776401462,-0.712098391898291,"Huila"
-0.528754057487438,-0.55480755852147,"Huila"
-0.428235355278253,-1.02953971297634,"Huila"
-0.0450358385014693,-1.26141043958898,"Huila"
-0.416011623166892,0.0986681795249846,"Huila"
-0.46649407067797,-0.368467887243455,"Huila"
1.02944392335918,0.8346952963977,"Antioquia"
0.190325522709873,-0.937919667232797,"Antioquia"
1.00395607893293,1.08560167334736,"Antioquia"
0.62786086886508,-0.626475226083912,"Antioquia"
1.12669387797199,0.761303201734525,"Antioquia"
0.720935300165909,-0.393174287418288,"Antioquia"
