"Id","cocoa","acid_fruit","acid_acetic","acid_lactic","bitterness","astringency","fruit_berry","fruit_citrus","fruit_dark","fruit_yellow,_orange_whiteflesh","fruit_tropical","fruit_dried","fruit_brown","fruit_overripe","floral_grassy,_greenvegetal,_herbal","floral_earthy,_mushroom,_moss,_woodsy","floral_orangeblossom","floral_flowers","wood_lightwood","wood_darkwood","wood_resin","spice_spices","spice_tobacco","spice_savory,_umami","nutty_nutflesh","nutty_nutskins","caramel_panela","roastdegree","dirty,_dusty","musty","over_fermented,_rottenfruit","putrid,_manure","smoky"
"Santander",5.08333333333333,2.58333333333333,1.33333333333333,0.25,3.75,5.25,1.25,0.666666666666667,0.833333333333333,1,2.25,1.75,2.33333333333333,0.75,0.166666666666667,0,0.25,1.66666666666667,1.16666666666667,0.666666666666667,0,0.583333333333333,0,0.333333333333333,0.25,0.916666666666667,1.66666666666667,4.5,0.0833333333333333,0,0.5,0.0833333333333333,0
"Huila",5.58333333333333,2.41666666666667,1.08333333333333,0,3.66666666666667,4.91666666666667,1.58333333333333,0.75,0.916666666666667,1,2.08333333333333,1.91666666666667,2.58333333333333,0.25,0.75,0,0.0833333333333333,1.5,1,0.833333333333333,0,0.0833333333333333,0,0,0.166666666666667,0.75,1.58333333333333,4.75,0,0,0,0,0
"Antioquia",5.83333333333333,1.66666666666667,0.583333333333333,1,4.08333333333333,5.16666666666667,0,0.166666666666667,0,0.166666666666667,1,1.83333333333333,1.41666666666667,0.833333333333333,0.166666666666667,0,0,0,0.5,1.75,0.0833333333333333,0,0.0833333333333333,0,0,0,0,5.08333333333333,1,0.333333333333333,0.416666666666667,0.5,0.166666666666667
"Ghana",8.33333333333333,0.166666666666667,0,0,3,4,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,2.66666666666667,0,0,2.16666666666667,0,0,0,0,5.5,0,0,0,0,0
"Ivory_Coast",8.16666666666667,0.166666666666667,0,0,3.16666666666667,4,0,0,0,0.166666666666667,0,0.666666666666667,0,0,0.166666666666667,0,0,0,0.166666666666667,3,0,0,1.83333333333333,0.333333333333333,0.5,0.166666666666667,0.333333333333333,5.66666666666667,0,0,0,0,0
"Madagascar",5,2.5,1.66666666666667,0.166666666666667,3.5,4.83333333333333,1.33333333333333,1.16666666666667,0.5,0.833333333333333,2.33333333333333,1.33333333333333,2.33333333333333,0.5,0.5,0,0,0.833333333333333,1.5,0.5,0,0,0,0.5,0.5,0.333333333333333,1,4.66666666666667,0,0,0,0,0
"SYNCOM",4,3,3,0,4,4.5,0.75,0.75,1.5,2,2,1,2,0,2,0,0.75,1.5,0,0,0,0,1.5,0,0,0,0,4,0,0,0,0,0
"No_SYNCOM",3,0,0,0,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
