"Sample_ID","Description4","PC1","PC2"
"A06","SYNCOM",-0.226925517045226,-1.56564285561946
"A20","No_SYNCOM",3.59169953089406,0.0504068276411726
"A21","No_SYNCOM",3.60881987788648,-0.0277596426079495
"A05","SYNCOM",-0.234436670388014,-1.53559730602902
"A19","No_SYNCOM",3.66316133824749,0.100511430951139
"A04","SYNCOM",-0.291819176937616,-1.67967081207148
"ANTIOQUIA","Antioquia",-0.564981135211097,2.11659981751843
"SANTANDER","Santander",-0.776013836389649,0.836264257967659
"SANTANDER","Santander",-1.03853759304894,-0.30244789230665
"HUILA","Huila",-1.70648278545379,-0.461611700561871
"HUILA","Huila",-1.69451289341009,-0.341831174344295
"SANTANDER","Santander",-1.12880614748795,-0.0328521016096864
"HUILA","Huila",-1.72645472089898,-0.546133461987179
"ANTIOQUIA","Antioquia",-0.823147240030441,1.52750480627223
"ANTIOQUIA","Antioquia",-0.651563030726238,1.86225980678696
