"Sample_name","Population","Selection","Criollo","Nacional","Amelonado","Purús","Marañon","Curaray","Contamana","Guiana","Iquitos","Nanay"
"847_MAR","Reference","Reference",6e-04,5e-04,0.1383,0.0016,0.8522,7e-04,5e-04,0.0012,0.0022,0.0022
"864_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"869_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"871_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"873_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"875_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,8e-04,7e-04
"878_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"880_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,8e-04,6e-04
"883_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"885_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"890_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,6e-04
"894_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,6e-04
"896_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"901_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"902_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9949,7e-04,5e-04,5e-04,6e-04,7e-04,7e-04
"903_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,6e-04
"908_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"912_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"915_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"917_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"920_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,6e-04
"922_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"929_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,6e-04
"931_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"934_PUR","Reference","Reference",5e-04,4e-04,6e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"936_PUR","Reference","Reference",5e-04,5e-04,6e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,6e-04
"940_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9949,6e-04,5e-04,5e-04,6e-04,7e-04,7e-04
"941_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"948_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,6e-04
"949_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9949,6e-04,6e-04,5e-04,6e-04,7e-04,7e-04
"950_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,8e-04,7e-04
"952_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"957_PUR","Reference","Reference",5e-04,5e-04,6e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"962_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,6e-04
"966_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9949,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"859_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9948,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"860_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,6e-04,6e-04,5e-04,6e-04,6e-04,7e-04
"861_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9948,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"865_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,7e-04,5e-04,5e-04,6e-04,7e-04,7e-04
"866_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9948,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"870_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,7e-04,6e-04,5e-04,6e-04,6e-04,8e-04
"874_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,6e-04,5e-04,5e-04,6e-04,7e-04,8e-04
"879_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,6e-04,6e-04,5e-04,6e-04,7e-04,7e-04
"884_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,7e-04,6e-04,5e-04,6e-04,7e-04,7e-04
"888_PUR","Reference","Reference",5e-04,5e-04,6e-04,0.9948,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"889_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,7e-04,6e-04,5e-04,6e-04,7e-04,7e-04
"892_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9948,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"893_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,7e-04,6e-04,5e-04,6e-04,6e-04,7e-04
"897_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,6e-04,6e-04,5e-04,6e-04,7e-04,7e-04
"898_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9948,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"906_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9948,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"907_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,6e-04,5e-04,5e-04,6e-04,6e-04,7e-04
"910_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9948,6e-04,5e-04,4e-04,7e-04,8e-04,7e-04
"911_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,7e-04,5e-04,5e-04,6e-04,7e-04,7e-04
"916_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,6e-04,6e-04,5e-04,6e-04,7e-04,7e-04
"925_PUR","Reference","Reference",5e-04,5e-04,6e-04,0.9948,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"926_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,6e-04,6e-04,5e-04,6e-04,7e-04,7e-04
"927_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9948,6e-04,5e-04,4e-04,7e-04,8e-04,7e-04
"930_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,7e-04,6e-04,5e-04,6e-04,7e-04,7e-04
"935_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,6e-04,6e-04,5e-04,6e-04,7e-04,8e-04
"939_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9948,6e-04,5e-04,4e-04,7e-04,8e-04,7e-04
"944_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9948,6e-04,5e-04,4e-04,7e-04,8e-04,7e-04
"945_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,7e-04,6e-04,5e-04,6e-04,7e-04,7e-04
"946_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9948,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"953_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,6e-04,6e-04,5e-04,6e-04,7e-04,7e-04
"954_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9948,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"958_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,7e-04,6e-04,5e-04,6e-04,6e-04,7e-04
"959_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9948,6e-04,5e-04,4e-04,8e-04,7e-04,7e-04
"963_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,6e-04,6e-04,5e-04,6e-04,7e-04,7e-04
"964_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9948,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"967_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9948,7e-04,6e-04,5e-04,6e-04,7e-04,7e-04
"968_PUR","Reference","Reference",5e-04,5e-04,5e-04,0.9948,6e-04,5e-04,4e-04,7e-04,7e-04,7e-04
"921_PUR","Reference","Reference",6e-04,5e-04,4e-04,0.9947,6e-04,6e-04,5e-04,7e-04,7e-04,7e-04
"882_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.993,7e-04,9e-04,9e-04,9e-04,7e-04,6e-04
"905_PUR","Reference","Reference",6e-04,0.0011,5e-04,0.993,7e-04,9e-04,9e-04,9e-04,7e-04,6e-04
"909_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.993,7e-04,0.001,9e-04,9e-04,7e-04,6e-04
"919_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.993,7e-04,9e-04,0.001,9e-04,7e-04,6e-04
"928_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.993,7e-04,9e-04,9e-04,9e-04,7e-04,6e-04
"858_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.9929,7e-04,9e-04,0.001,9e-04,7e-04,6e-04
"863_PUR","Reference","Reference",7e-04,0.0012,5e-04,0.9929,7e-04,0.001,0.001,9e-04,7e-04,6e-04
"868_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.9929,7e-04,9e-04,0.001,9e-04,7e-04,6e-04
"877_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.9929,7e-04,9e-04,9e-04,9e-04,7e-04,6e-04
"887_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.9929,7e-04,9e-04,9e-04,9e-04,7e-04,6e-04
"895_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.9929,7e-04,9e-04,0.001,9e-04,7e-04,6e-04
"914_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.9929,7e-04,9e-04,9e-04,9e-04,7e-04,6e-04
"924_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.9929,7e-04,0.001,9e-04,9e-04,7e-04,6e-04
"933_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.9929,7e-04,9e-04,0.001,9e-04,7e-04,6e-04
"938_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.9929,7e-04,0.001,0.001,9e-04,7e-04,6e-04
"956_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.9929,7e-04,9e-04,0.001,9e-04,7e-04,6e-04
"961_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.9929,7e-04,0.001,9e-04,9e-04,7e-04,6e-04
"965_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.9929,7e-04,0.001,9e-04,9e-04,7e-04,6e-04
"872_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.9928,7e-04,0.001,0.001,9e-04,7e-04,6e-04
"891_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.9928,7e-04,0.001,0.001,0.001,7e-04,6e-04
"900_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.9928,7e-04,0.001,9e-04,9e-04,7e-04,6e-04
"943_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.9928,7e-04,0.001,0.001,9e-04,7e-04,6e-04
"947_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.9928,8e-04,0.001,0.001,9e-04,7e-04,6e-04
"951_PUR","Reference","Reference",7e-04,0.0011,5e-04,0.9928,8e-04,9e-04,0.001,9e-04,7e-04,6e-04
"862_PUR","Reference","Reference",0.0021,0.0011,4e-04,0.99,0.001,0.0018,9e-04,7e-04,0.0011,8e-04
"937_PUR","Reference","Reference",0.002,0.0012,4e-04,0.99,0.001,0.0017,9e-04,7e-04,0.0012,8e-04
"942_PUR","Reference","Reference",0.0021,0.0011,4e-04,0.9899,0.0011,0.0018,9e-04,7e-04,0.0012,8e-04
"955_PUR","Reference","Reference",0.002,0.0012,4e-04,0.9899,0.001,0.0018,0.001,7e-04,0.0012,8e-04
"876_PUR","Reference","Reference",0.0021,0.0011,5e-04,0.9898,0.001,0.0019,0.001,7e-04,0.0012,8e-04
"886_PUR","Reference","Reference",0.0021,0.0012,5e-04,0.9898,0.001,0.0018,9e-04,7e-04,0.0012,8e-04
"899_PUR","Reference","Reference",0.002,0.0012,5e-04,0.9898,0.001,0.0019,0.001,7e-04,0.0012,8e-04
"904_PUR","Reference","Reference",0.002,0.0012,5e-04,0.9898,0.001,0.0018,0.001,7e-04,0.0012,8e-04
"913_PUR","Reference","Reference",0.0022,0.0011,4e-04,0.9898,0.001,0.0018,0.001,7e-04,0.0011,8e-04
"923_PUR","Reference","Reference",0.002,0.0012,5e-04,0.9898,0.0011,0.0018,0.001,7e-04,0.0012,8e-04
"960_PUR","Reference","Reference",0.0021,0.0012,4e-04,0.9898,0.001,0.0018,0.001,7e-04,0.0012,8e-04
"881_PUR","Reference","Reference",0.0021,0.0012,5e-04,0.9897,0.001,0.0018,0.001,7e-04,0.0012,8e-04
"918_PUR","Reference","Reference",0.002,0.0011,4e-04,0.9897,0.0011,0.0019,0.001,7e-04,0.0012,8e-04
"932_PUR","Reference","Reference",0.0022,0.0012,4e-04,0.9897,0.001,0.0017,0.001,8e-04,0.0012,8e-04
"857_PUR","Reference","Reference",0.0022,0.0012,5e-04,0.9896,0.0011,0.0018,9e-04,7e-04,0.0012,8e-04
"867_PUR","Reference","Reference",0.0023,0.0011,5e-04,0.9896,0.001,0.0018,9e-04,7e-04,0.0012,8e-04
"970_CON","Reference","Reference",5e-04,8e-04,3e-04,6e-04,4e-04,0.0012,0.9949,4e-04,5e-04,3e-04
"971_CON","Reference","Reference",6e-04,8e-04,3e-04,5e-04,4e-04,0.0013,0.9949,4e-04,5e-04,3e-04
"985_CON","Reference","Reference",6e-04,8e-04,3e-04,6e-04,4e-04,0.0012,0.9949,4e-04,5e-04,3e-04
"996_CON","Reference","Reference",6e-04,8e-04,3e-04,6e-04,4e-04,0.0012,0.9949,5e-04,5e-04,3e-04
"1020_CON","Reference","Reference",5e-04,8e-04,3e-04,6e-04,4e-04,0.0012,0.9949,4e-04,5e-04,4e-04
"1036_CON","Reference","Reference",6e-04,8e-04,3e-04,6e-04,4e-04,0.0012,0.9949,5e-04,5e-04,3e-04
"1045_CON","Reference","Reference",6e-04,8e-04,3e-04,6e-04,4e-04,0.0012,0.9949,5e-04,5e-04,3e-04
"1060_CON","Reference","Reference",5e-04,8e-04,3e-04,6e-04,4e-04,0.0012,0.9949,5e-04,5e-04,3e-04
"986_CON","Reference","Reference",6e-04,8e-04,3e-04,6e-04,4e-04,0.0013,0.9948,4e-04,5e-04,3e-04
"995_CON","Reference","Reference",6e-04,8e-04,3e-04,6e-04,4e-04,0.0013,0.9948,5e-04,5e-04,3e-04
"1010_CON","Reference","Reference",6e-04,8e-04,3e-04,6e-04,4e-04,0.0013,0.9948,5e-04,5e-04,3e-04
"1021_CON","Reference","Reference",6e-04,8e-04,3e-04,6e-04,4e-04,0.0012,0.9948,5e-04,5e-04,3e-04
"1046_CON","Reference","Reference",6e-04,8e-04,3e-04,6e-04,4e-04,0.0013,0.9948,4e-04,5e-04,3e-04
"1061_CON","Reference","Reference",5e-04,8e-04,3e-04,6e-04,4e-04,0.0013,0.9948,4e-04,5e-04,3e-04
"1011_CON","Reference","Reference",6e-04,8e-04,3e-04,6e-04,4e-04,0.0013,0.9947,5e-04,5e-04,3e-04
"1035_CON","Reference","Reference",6e-04,8e-04,3e-04,6e-04,4e-04,0.0013,0.9947,4e-04,5e-04,3e-04
"992_CON","Reference","Reference",4e-04,0.0012,3e-04,6e-04,5e-04,0.001,0.9945,6e-04,5e-04,4e-04
"1027_CON","Reference","Reference",4e-04,0.0012,3e-04,6e-04,5e-04,0.0011,0.9945,6e-04,5e-04,4e-04
"1067_CON","Reference","Reference",4e-04,0.0012,3e-04,6e-04,5e-04,0.0011,0.9945,6e-04,5e-04,4e-04
"977_CON","Reference","Reference",5e-04,0.0012,3e-04,6e-04,5e-04,0.001,0.9944,6e-04,5e-04,3e-04
"984_CON","Reference","Reference",5e-04,0.0011,3e-04,6e-04,5e-04,0.0011,0.9944,6e-04,5e-04,4e-04
"1002_CON","Reference","Reference",5e-04,0.0012,3e-04,6e-04,5e-04,0.0011,0.9944,6e-04,5e-04,4e-04
"1017_CON","Reference","Reference",5e-04,0.0012,3e-04,6e-04,5e-04,0.0011,0.9944,6e-04,5e-04,4e-04
"1042_CON","Reference","Reference",5e-04,0.0012,3e-04,6e-04,5e-04,0.0011,0.9944,6e-04,5e-04,4e-04
"1052_CON","Reference","Reference",5e-04,0.0012,3e-04,6e-04,5e-04,0.0011,0.9944,6e-04,5e-04,4e-04
"969_CON","Reference","Reference",4e-04,0.0012,3e-04,6e-04,5e-04,0.0012,0.9943,6e-04,5e-04,4e-04
"983_CON","Reference","Reference",5e-04,0.0011,3e-04,6e-04,6e-04,0.0011,0.9943,6e-04,5e-04,4e-04
"994_CON","Reference","Reference",4e-04,0.0011,3e-04,6e-04,6e-04,0.0012,0.9943,6e-04,5e-04,4e-04
"1008_CON","Reference","Reference",5e-04,0.0012,3e-04,6e-04,6e-04,0.0011,0.9943,6e-04,5e-04,4e-04
"1033_CON","Reference","Reference",5e-04,0.0012,3e-04,6e-04,5e-04,0.0011,0.9943,6e-04,5e-04,4e-04
"1058_CON","Reference","Reference",5e-04,0.0012,3e-04,6e-04,5e-04,0.0011,0.9943,6e-04,5e-04,4e-04
"1009_CON","Reference","Reference",4e-04,0.0012,3e-04,6e-04,6e-04,0.0012,0.9942,6e-04,5e-04,4e-04
"1019_CON","Reference","Reference",5e-04,0.0012,3e-04,6e-04,6e-04,0.0012,0.9942,6e-04,5e-04,4e-04
"1034_CON","Reference","Reference",5e-04,0.0012,3e-04,6e-04,6e-04,0.0012,0.9942,6e-04,5e-04,4e-04
"1044_CON","Reference","Reference",5e-04,0.0012,3e-04,6e-04,6e-04,0.0012,0.9942,6e-04,5e-04,4e-04
"1059_CON","Reference","Reference",5e-04,0.0012,3e-04,7e-04,5e-04,0.0011,0.9942,6e-04,5e-04,4e-04
"972_CON","Reference","Reference",6e-04,9e-04,3e-04,7e-04,6e-04,0.0018,0.9932,8e-04,6e-04,6e-04
"987_CON","Reference","Reference",6e-04,0.001,3e-04,7e-04,6e-04,0.0018,0.9932,8e-04,6e-04,5e-04
"1000_CON","Reference","Reference",0.0011,0.0014,4e-04,7e-04,5e-04,0.0016,0.9931,5e-04,5e-04,4e-04
"1012_CON","Reference","Reference",6e-04,9e-04,3e-04,7e-04,6e-04,0.0019,0.9931,8e-04,6e-04,6e-04
"1022_CON","Reference","Reference",6e-04,9e-04,3e-04,7e-04,6e-04,0.0018,0.9931,7e-04,6e-04,5e-04
"1023_CON","Reference","Reference",5e-04,0.0022,4e-04,7e-04,5e-04,0.0011,0.9931,7e-04,5e-04,4e-04
"1037_CON","Reference","Reference",6e-04,9e-04,3e-04,7e-04,6e-04,0.0018,0.9931,8e-04,6e-04,5e-04
"1048_CON","Reference","Reference",5e-04,0.0022,3e-04,7e-04,5e-04,0.001,0.9931,6e-04,5e-04,4e-04
"1062_CON","Reference","Reference",6e-04,9e-04,3e-04,7e-04,6e-04,0.0018,0.9931,8e-04,6e-04,5e-04
"1063_CON","Reference","Reference",5e-04,0.0022,3e-04,7e-04,5e-04,0.001,0.9931,7e-04,5e-04,4e-04
"975_CON","Reference","Reference",0.0011,0.0014,4e-04,6e-04,5e-04,0.0016,0.993,5e-04,5e-04,4e-04
"1013_CON","Reference","Reference",5e-04,0.0022,4e-04,7e-04,5e-04,0.0012,0.993,6e-04,5e-04,4e-04
"1015_CON","Reference","Reference",0.0011,0.0014,4e-04,6e-04,5e-04,0.0016,0.993,5e-04,5e-04,4e-04
"1038_CON","Reference","Reference",5e-04,0.0023,3e-04,7e-04,5e-04,0.001,0.993,7e-04,5e-04,4e-04
"1047_CON","Reference","Reference",6e-04,9e-04,3e-04,7e-04,6e-04,0.0019,0.993,8e-04,6e-04,5e-04
"988_CON","Reference","Reference",5e-04,0.0023,4e-04,7e-04,5e-04,0.001,0.9929,7e-04,5e-04,4e-04
"990_CON","Reference","Reference",0.0011,0.0014,4e-04,6e-04,5e-04,0.0018,0.9929,5e-04,5e-04,3e-04
"997_CON","Reference","Reference",6e-04,0.001,3e-04,7e-04,6e-04,0.002,0.9929,7e-04,6e-04,6e-04
"1025_CON","Reference","Reference",0.0011,0.0014,4e-04,6e-04,5e-04,0.0017,0.9929,5e-04,5e-04,3e-04
"1040_CON","Reference","Reference",0.0011,0.0015,4e-04,6e-04,5e-04,0.0017,0.9929,5e-04,5e-04,4e-04
"1050_CON","Reference","Reference",0.0012,0.0015,4e-04,6e-04,5e-04,0.0016,0.9929,5e-04,5e-04,3e-04
"1065_CON","Reference","Reference",0.0011,0.0014,4e-04,6e-04,5e-04,0.0016,0.9929,5e-04,5e-04,3e-04
"973_CON","Reference","Reference",5e-04,0.0024,3e-04,7e-04,5e-04,0.0011,0.9928,7e-04,5e-04,4e-04
"998_CON","Reference","Reference",5e-04,0.0023,3e-04,7e-04,5e-04,0.0011,0.9928,7e-04,5e-04,4e-04
"1006_CON","Reference","Reference",0.0016,0.002,7e-04,0.0014,0.0014,0.0029,0.9845,0.0034,0.0012,9e-04
"1031_CON","Reference","Reference",0.0016,0.0019,7e-04,0.0014,0.0014,0.0031,0.9845,0.0033,0.0012,9e-04
"976_CON","Reference","Reference",0.0017,0.0018,7e-04,0.0014,0.0014,0.0035,0.9844,0.003,0.0012,9e-04
"981_CON","Reference","Reference",0.0017,0.002,7e-04,0.0014,0.0015,0.003,0.9844,0.0032,0.0012,0.001
"1001_CON","Reference","Reference",0.0018,0.0019,7e-04,0.0014,0.0014,0.0035,0.9844,0.0029,0.0011,9e-04
"1026_CON","Reference","Reference",0.0018,0.0018,7e-04,0.0013,0.0015,0.0036,0.9844,0.003,0.0012,8e-04
"991_CON","Reference","Reference",0.0018,0.002,7e-04,0.0013,0.0014,0.0035,0.9843,0.0029,0.0011,9e-04
"1016_CON","Reference","Reference",0.0019,0.0017,7e-04,0.0013,0.0014,0.0035,0.9843,0.003,0.0011,9e-04
"1041_CON","Reference","Reference",0.0019,0.0018,7e-04,0.0013,0.0014,0.0035,0.9843,0.003,0.0011,9e-04
"1056_CON","Reference","Reference",0.0017,0.0021,7e-04,0.0014,0.0015,0.0029,0.9843,0.0033,0.0012,0.001
"1066_CON","Reference","Reference",0.0019,0.0018,7e-04,0.0013,0.0014,0.0038,0.9841,0.003,0.0011,9e-04
"1051_CON","Reference","Reference",0.0019,0.0019,7e-04,0.0013,0.0014,0.004,0.9838,0.003,0.0011,9e-04
"1049_CON","Reference","Reference",0.0011,0.0076,6e-04,0.001,0.001,0.0036,0.9806,0.0025,0.0012,8e-04
"999_CON","Reference","Reference",0.0012,0.0074,6e-04,0.001,0.001,0.0037,0.9805,0.0026,0.0012,8e-04
"989_CON","Reference","Reference",0.0011,0.0081,6e-04,9e-04,0.001,0.0034,0.9803,0.0026,0.0012,8e-04
"1024_CON","Reference","Reference",0.0011,0.0079,6e-04,0.001,0.001,0.0035,0.9803,0.0027,0.0013,9e-04
"1039_CON","Reference","Reference",0.0011,0.008,6e-04,9e-04,0.001,0.0035,0.9802,0.0026,0.0013,8e-04
"1064_CON","Reference","Reference",0.0012,0.0082,6e-04,0.001,0.001,0.0034,0.9801,0.0026,0.0012,8e-04
"1014_CON","Reference","Reference",0.0011,0.0083,6e-04,0.001,0.001,0.0036,0.9799,0.0024,0.0013,8e-04
"974_CON","Reference","Reference",0.0011,0.0087,6e-04,0.001,0.001,0.0035,0.9795,0.0025,0.0013,8e-04
"1028_CON","Reference","Reference",0.0012,0.0077,8e-04,0.0025,0.0033,0.018,0.9596,0.0045,0.0013,0.0012
"1053_CON","Reference","Reference",0.0012,0.0075,8e-04,0.0024,0.0032,0.0183,0.9596,0.0046,0.0013,0.0012
"993_CON","Reference","Reference",0.0012,0.0081,8e-04,0.0025,0.0035,0.0178,0.9594,0.0043,0.0013,0.0012
"978_CON","Reference","Reference",0.0012,0.0076,8e-04,0.0024,0.0034,0.0185,0.9592,0.0044,0.0013,0.0011
"1068_CON","Reference","Reference",0.0012,0.0072,8e-04,0.0023,0.0034,0.0191,0.9589,0.0045,0.0013,0.0012
"1043_CON","Reference","Reference",0.0012,0.0074,8e-04,0.0025,0.0032,0.019,0.9588,0.0046,0.0013,0.0012
"1003_CON","Reference","Reference",0.0011,0.0076,8e-04,0.0026,0.0033,0.0195,0.958,0.0046,0.0014,0.0012
"1018_CON","Reference","Reference",0.0011,0.0078,8e-04,0.0024,0.0034,0.0199,0.9574,0.0046,0.0013,0.0012
"1029_CON","Reference","Reference",0.0647,0.0177,0.0011,0.009,0.0141,0.0261,0.8546,0.0042,0.0044,0.0041
"1054_CON","Reference","Reference",0.0628,0.0186,0.0011,0.0095,0.0172,0.0247,0.854,0.004,0.0043,0.0038
"979_CON","Reference","Reference",0.0638,0.0175,0.0011,0.0094,0.0149,0.0266,0.8539,0.0043,0.0042,0.0044
"1004_CON","Reference","Reference",0.0627,0.0174,0.0011,0.0102,0.0167,0.0265,0.8531,0.0042,0.0039,0.0041
"1032_CON","Reference","Reference",0.0048,0.0022,0.0018,0.0124,0.0119,0.1249,0.834,0.0024,0.0031,0.0025
"1007_CON","Reference","Reference",0.0047,0.0022,0.0017,0.0118,0.0125,0.1253,0.8335,0.0026,0.003,0.0026
"1057_CON","Reference","Reference",0.0044,0.0023,0.0018,0.0115,0.0125,0.1261,0.8331,0.0024,0.003,0.0027
"982_CON","Reference","Reference",0.0046,0.0022,0.0017,0.011,0.0128,0.1268,0.8328,0.0025,0.003,0.0027
"980_CON","Reference","Reference",0.0175,0.0181,0.0018,0.0156,0.0132,0.0684,0.8097,0.0028,0.0318,0.021
"1005_CON","Reference","Reference",0.0167,0.0185,0.0018,0.0153,0.0137,0.0685,0.8091,0.0027,0.0325,0.0211
"1030_CON","Reference","Reference",0.0165,0.0178,0.0016,0.0161,0.0133,0.0689,0.8091,0.0027,0.0318,0.0222
"1055_CON","Reference","Reference",0.0166,0.0179,0.0018,0.017,0.014,0.0715,0.8076,0.0028,0.0304,0.0204
