"Sample_name","Population","Selection","Criollo","Nacional","Amelonado","Purús","Marañon","Curaray","Contamana","Guiana","Iquitos","Nanay"
"703_NAC","Reference","Reference",0.001,0.9896,4e-04,9e-04,8e-04,0.0032,0.0019,9e-04,7e-04,6e-04
"651_NAC","Reference","Reference",6e-04,0.9895,3e-04,6e-04,6e-04,0.0034,0.0032,8e-04,6e-04,5e-04
"653_NAC","Reference","Reference",0.0011,0.9895,4e-04,9e-04,8e-04,0.0033,0.0017,0.001,7e-04,6e-04
"726_NAC","Reference","Reference",6e-04,0.9895,4e-04,6e-04,6e-04,0.0033,0.0032,8e-04,6e-04,5e-04
"728_NAC","Reference","Reference",0.0011,0.9894,4e-04,9e-04,8e-04,0.0033,0.0018,9e-04,7e-04,6e-04
"678_NAC","Reference","Reference",0.001,0.9892,4e-04,9e-04,8e-04,0.0034,0.0019,0.001,7e-04,6e-04
"676_NAC","Reference","Reference",6e-04,0.9891,3e-04,7e-04,6e-04,0.0036,0.0032,8e-04,6e-04,5e-04
"701_NAC","Reference","Reference",6e-04,0.9891,3e-04,6e-04,6e-04,0.0036,0.0032,8e-04,5e-04,5e-04
"654_NAC","Reference","Reference",9e-04,0.9885,8e-04,0.0013,0.0011,0.0022,0.0021,0.0012,0.001,0.001
"704_NAC","Reference","Reference",8e-04,0.9884,7e-04,0.0014,0.0011,0.0022,0.0022,0.0012,0.001,0.001
"729_NAC","Reference","Reference",8e-04,0.9882,7e-04,0.0014,0.0011,0.0023,0.0023,0.0012,0.001,0.001
"679_NAC","Reference","Reference",8e-04,0.9881,7e-04,0.0013,0.0011,0.0024,0.0022,0.0012,0.001,0.001
"699_NAC","Reference","Reference",6e-04,0.9875,7e-04,0.001,0.0011,0.0024,0.0025,0.0017,0.0012,0.0014
"724_NAC","Reference","Reference",6e-04,0.9872,7e-04,0.0011,0.0012,0.0024,0.0026,0.0017,0.0012,0.0014
"649_NAC","Reference","Reference",6e-04,0.9871,7e-04,0.0011,0.0011,0.0025,0.0026,0.0017,0.0011,0.0014
"674_NAC","Reference","Reference",6e-04,0.9871,7e-04,0.0011,0.0012,0.0024,0.0027,0.0017,0.0013,0.0013
"655_NAC","Reference","Reference",7e-04,0.9869,5e-04,0.0012,9e-04,0.0041,0.0023,0.0012,0.0012,0.001
"680_NAC","Reference","Reference",7e-04,0.9868,5e-04,0.0012,9e-04,0.0042,0.0022,0.0012,0.0013,0.0011
"730_NAC","Reference","Reference",8e-04,0.9867,5e-04,0.0013,9e-04,0.004,0.0023,0.0012,0.0012,0.0011
"705_NAC","Reference","Reference",8e-04,0.9866,5e-04,0.0012,9e-04,0.0041,0.0024,0.0012,0.0012,0.0011
"670_NAC","Reference","Reference",0.0014,0.9807,0.002,0.0028,0.0025,0.0023,0.0013,9e-04,0.0032,0.0028
"687_NAC","Reference","Reference",0.0014,0.9806,0.002,0.003,0.0025,0.0024,0.0013,8e-04,0.0032,0.0028
"695_NAC","Reference","Reference",0.0013,0.9806,0.002,0.0029,0.0024,0.0026,0.0014,9e-04,0.0031,0.0028
"712_NAC","Reference","Reference",0.0013,0.9806,0.002,0.003,0.0025,0.0024,0.0014,9e-04,0.0032,0.0028
"720_NAC","Reference","Reference",0.0013,0.9806,0.002,0.003,0.0026,0.0023,0.0013,8e-04,0.0032,0.0028
"745_NAC","Reference","Reference",0.0013,0.9805,0.002,0.003,0.0026,0.0025,0.0013,8e-04,0.0033,0.0028
"662_NAC","Reference","Reference",0.0014,0.9803,0.0021,0.003,0.0025,0.0024,0.0014,9e-04,0.0031,0.003
"737_NAC","Reference","Reference",0.0013,0.9803,0.002,0.003,0.0027,0.0024,0.0014,9e-04,0.0031,0.0029
"661_NAC","Reference","Reference",0.0081,0.8926,0.0551,0.0021,0.0077,0.0083,0.0016,0.0058,0.0015,0.0171
"694_NAC","Reference","Reference",0.0082,0.8925,0.0543,0.002,0.008,0.0081,0.0015,0.0065,0.0015,0.0172
"719_NAC","Reference","Reference",0.0085,0.8925,0.0547,0.0022,0.0075,0.0082,0.0016,0.0063,0.0015,0.017
"744_NAC","Reference","Reference",0.0073,0.8925,0.0566,0.0021,0.0073,0.0087,0.0014,0.0058,0.0014,0.0168
"669_NAC","Reference","Reference",0.0077,0.8924,0.0554,0.0021,0.0081,0.0084,0.0014,0.006,0.0014,0.0169
"686_NAC","Reference","Reference",0.0078,0.892,0.0562,0.0021,0.007,0.0089,0.0016,0.0064,0.0015,0.0166
"736_NAC","Reference","Reference",0.0084,0.892,0.055,0.0021,0.0075,0.0086,0.0015,0.0065,0.0016,0.0168
"711_NAC","Reference","Reference",0.0077,0.8919,0.0562,0.0021,0.0066,0.0093,0.0016,0.0061,0.0015,0.017
"673_NAC","Reference","Reference",6e-04,0.889,0.0785,0.0096,0.0029,0.0016,0.0015,0.0014,0.003,0.012
"715_NAC","Reference","Reference",6e-04,0.8889,0.0775,0.0099,0.0031,0.0014,0.0014,0.0013,0.003,0.0127
"723_NAC","Reference","Reference",6e-04,0.8887,0.0768,0.0102,0.0031,0.0014,0.0014,0.0013,0.0031,0.0134
"740_NAC","Reference","Reference",6e-04,0.8884,0.0773,0.0099,0.0031,0.0016,0.0015,0.0013,0.0033,0.0131
"698_NAC","Reference","Reference",6e-04,0.8883,0.0769,0.0104,0.0028,0.0015,0.0014,0.0013,0.0031,0.0137
"748_NAC","Reference","Reference",6e-04,0.8883,0.0774,0.0101,0.003,0.0016,0.0015,0.0014,0.0032,0.013
"665_NAC","Reference","Reference",6e-04,0.8879,0.0763,0.0106,0.0031,0.0016,0.0015,0.0013,0.0033,0.0139
"690_NAC","Reference","Reference",6e-04,0.8878,0.0762,0.0112,0.0028,0.0016,0.0015,0.0012,0.0031,0.0141
